"Date.Day","Date.Full","Date.Month","Date.Year","Show.Name","Show.Theatre","Show.Type","Statistics.Attendance","Statistics.Capacity","Statistics.Gross","Statistics.Gross Potential","Statistics.Performances"
"5","6/5/2016","6","2016","Aladdin","New Amsterdam","Musical","13641","99","1506481","92","8"
"5","6/5/2016","6","2016","American Psycho","Schoenfeld","Musical","7453","90","620083","59","8"
"5","6/5/2016","6","2016","An Act Of God 2016","Booth","Play","4599","76","293212","38","0"
"5","6/5/2016","6","2016","An American In Paris","Palace","Musical","8032","60","681148","46","8"
"5","6/5/2016","6","2016","Beautiful","Stephen Sondheim","Musical","7338","89","847560","72","8"
"5","6/5/2016","6","2016","Blackbird","Belasco","Play","5680","70","413284","46","8"
"5","6/5/2016","6","2016","Bright Star","Cort","Musical","5948","71","437980","48","8"
"5","6/5/2016","6","2016","Chicago","Ambassador","Musical","6223","72","505919","54","8"
"5","6/5/2016","6","2016","Eclipsed","Golden","Play","4233","66","303940","39","8"
"5","6/5/2016","6","2016","Fiddler On The Roof 2015","Broadway","Musical","8673","64","672540","43","8"
"5","6/5/2016","6","2016","Finding Neverland","Lunt-Fontanne","Musical","8158","68","592637","40","8"
"5","6/5/2016","6","2016","Fully Committed","Lyceum","Play","4545","62","343091","43","8"
"5","6/5/2016","6","2016","Fun Home","Circle In The Square","Musical","4431","75","342143","43","8"
"5","6/5/2016","6","2016","Hamilton","Richard Rodgers","Musical","10756","102","1854989","139","8"
"5","6/5/2016","6","2016","Jersey Boys","August Wilson","Musical","5823","59","505461","44","8"
"5","6/5/2016","6","2016","Kinky Boots","Al Hirschfeld","Musical","6771","59","606568","49","8"
"5","6/5/2016","6","2016","Les Miserables '14","Imperial","Musical","8241","73","685321","58","8"
"5","6/5/2016","6","2016","Long Day'S Journey Into Night 2016","American Airlines","Play","4975","97","433191","74","7"
"5","6/5/2016","6","2016","Matilda","Shubert","Musical","10465","91","815427","62","8"
"5","6/5/2016","6","2016","On Your Feet!","Marquis","Musical","7809","60","787779","51","8"
"5","6/5/2016","6","2016","Paramour","Lyric","Musical","12000","79","1024450","57","8"
"5","6/5/2016","6","2016","School Of Rock","Winter Garden","Musical","10800","90","1024700","67","8"
"5","6/5/2016","6","2016","She Loves Me 2016","Studio 54","Musical","7679","96","644551","72","8"
"5","6/5/2016","6","2016","Shuffle Along","Music Box","Musical","7766","101","960427","85","8"
"5","6/5/2016","6","2016","Something Rotten!","St. James","Musical","7764","66","628040","47","8"
"5","6/5/2016","6","2016","The Book Of Mormon","Eugene O'Neill","Musical","8726","102","1305975","95","8"
"5","6/5/2016","6","2016","The Color Purple 2015","Jacobs","Musical","6837","81","578875","55","8"
"5","6/5/2016","6","2016","The Crucible 2016","Walter Kerr","Play","6027","79","482516","49","8"
"5","6/5/2016","6","2016","The Curious Incident Of The Dog In The Night-Time","Ethel Barrymore","Play","4634","57","344839","40","8"
"5","6/5/2016","6","2016","The Father 2016","Friedman","Play","3470","67","251465","35","8"
"5","6/5/2016","6","2016","The Humans","Helen Hayes","Play","4407","96","457093","79","8"
"5","6/5/2016","6","2016","The King And I 2015","Vivian Beaumont","Musical","5888","70","483314","42","8"
"5","6/5/2016","6","2016","The Lion King","Minskoff","Musical","13544","100","2059644","99","8"
"5","6/5/2016","6","2016","The Phantom Of The Opera","Majestic","Musical","9881","77","857783","57","8"
"5","6/5/2016","6","2016","Waitress","Brooks Atkinson","Musical","8212","98","981923","96","8"
"5","6/5/2016","6","2016","Wicked","Gershwin","Musical","13270","92","1684817","95","8"
"12","6/12/2016","6","2016","Aladdin","New Amsterdam","Musical","13642","99","1581642","95","8"
"12","6/12/2016","6","2016","An Act Of God 2016","Booth","Play","3700","70","256649","38","7"
"12","6/12/2016","6","2016","An American In Paris","Palace","Musical","9257","69","800245","54","8"
"12","6/12/2016","6","2016","Beautiful","Stephen Sondheim","Musical","7485","91","889393","76","8"
"12","6/12/2016","6","2016","Blackbird","Belasco","Play","7375","91","552394","62","8"
"12","6/12/2016","6","2016","Bright Star","Cort","Musical","6672","80","527807","58","8"
"12","6/12/2016","6","2016","Chicago","Ambassador","Musical","6938","80","565835","60","8"
"12","6/12/2016","6","2016","Eclipsed","Golden","Play","5233","82","387767","49","8"
"12","6/12/2016","6","2016","Fiddler On The Roof 2015","Broadway","Musical","9213","67","751607","48","8"
"12","6/12/2016","6","2016","Finding Neverland","Lunt-Fontanne","Musical","9483","79","688641","47","8"
"12","6/12/2016","6","2016","Fully Committed","Lyceum","Play","5009","69","370369","47","8"
"12","6/12/2016","6","2016","Fun Home","Circle In The Square","Musical","4514","76","331268","42","8"
"12","6/12/2016","6","2016","Hamilton","Richard Rodgers","Musical","10754","102","2028208","152","8"
"12","6/12/2016","6","2016","Jersey Boys","August Wilson","Musical","6133","62","540996","47","8"
"12","6/12/2016","6","2016","Kinky Boots","Al Hirschfeld","Musical","7193","63","660084","53","8"
"12","6/12/2016","6","2016","Les Miserables '14","Imperial","Musical","9108","81","755856","64","8"
"12","6/12/2016","6","2016","Long Day'S Journey Into Night 2016","American Airlines","Play","4420","100","408921","82","6"
"12","6/12/2016","6","2016","Matilda","Shubert","Musical","11011","96","911510","69","8"
