"Date.Day","Date.Full","Date.Month","Date.Year","Show.Name","Show.Theatre","Show.Type","Statistics.Attendance","Statistics.Capacity","Statistics.Gross","Statistics.Gross Potential","Statistics.Performances"
"3","1/3/2010","1","2010","A Little Night Music","Walter Kerr","Musical","7527","101","1031543","112","8"
"3","1/3/2010","1","2010","A View From The Bridge '10","Cort","Play","7116","94","601729","79","0"
"3","1/3/2010","1","2010","Billy Elliot: The Musical","Imperial","Musical","11339","100","1663895","109","8"
"3","1/3/2010","1","2010","Burn The Floor","Longacre","Musical","7877","94","594252","72","8"
"3","1/3/2010","1","2010","Bye Bye Birdie","Henry Miller (Rndabt)","Musical","8003","98","667496","60","8"
"3","1/3/2010","1","2010","Chicago","Ambassador","Musical","8426","98","888536","84","8"
"3","1/3/2010","1","2010","Fela!","Eugene O'Neill","Musical","9083","98","838749","85","9"
"3","1/3/2010","1","2010","Finian'S Rainbow","St. James","Musical","10117","74","720849","52","8"
"3","1/3/2010","1","2010","God Of Carnage","Jacobs","Play","6601","77","571122","62","8"
"3","1/3/2010","1","2010","Hair","Al Hirschfeld","Musical","10804","96","1121847","83","8"
"3","1/3/2010","1","2010","In The Heights","Richard Rodgers","Musical","8571","78","941862","81","8"
"3","1/3/2010","1","2010","In The Next Room Or The Vibrator Play","Lyceum","Play","4804","67","253434","43","8"
"3","1/3/2010","1","2010","Irving Berlin'S White Christmas '09","Marquis","Musical","9224","82","759048","57","7"
"3","1/3/2010","1","2010","Jersey Boys","August Wilson","Musical","9861","101","1440456","105","8"
"3","1/3/2010","1","2010","Mamma Mia!","Winter Garden","Musical","11294","94","1315354","89","8"
"3","1/3/2010","1","2010","Mary Poppins","New Amsterdam","Musical","13947","97","1323699","91","8"
"3","1/3/2010","1","2010","Memphis","Shubert","Musical","9802","83","746372","59","8"
"3","1/3/2010","1","2010","Next To Normal","Booth","Musical","6406","92","550409","77","9"
"3","1/3/2010","1","2010","Present Laughter '10","American Airlines","Play","2258","76","88615","27","0"
"3","1/3/2010","1","2010","Race","Ethel Barrymore","Play","6339","75","588110","64","8"
"3","1/3/2010","1","2010","Ragtime '09","Neil Simon","Musical","9351","94","743751","69","7"
"3","1/3/2010","1","2010","Rock Of Ages","Brooks Atkinson","Musical","7107","89","747573","96","8"
"3","1/3/2010","1","2010","Shrek The Musical","Broadway","Musical","12869","93","1387182","78","8"
"3","1/3/2010","1","2010","South Pacific","Vivian Beaumont","Musical","7769","93","865225","88","8"
"3","1/3/2010","1","2010","Superior Donuts","Music Box","Play","4778","60","303165","34","8"
"3","1/3/2010","1","2010","The 39 Steps","Helen Hayes","Play","3975","84","295317","53","8"
"3","1/3/2010","1","2010","The Lion King","Minskoff","Musical","13233","100","1740130","117","8"
"3","1/3/2010","1","2010","The Phantom Of The Opera","Majestic","Musical","11875","92","1374875","96","8"
"3","1/3/2010","1","2010","West Side Story","Palace","Musical","12789","94","1485158","107","8"
"3","1/3/2010","1","2010","Wicked","Gershwin","Musical","14472","100","2125740","136","8"
"3","1/3/2010","1","2010","Wishful Drinking","Studio 54","Play","5247","75","314422","41","7"
"10","1/10/2010","1","2010","A Little Night Music","Walter Kerr","Musical","7420","100","960594","104","8"
"10","1/10/2010","1","2010","A View From The Bridge '10","Cort","Play","7372","85","520676","60","0"
"10","1/10/2010","1","2010","Billy Elliot: The Musical","Imperial","Musical","10368","91","1195293","90","8"
"10","1/10/2010","1","2010","Burn The Floor","Longacre","Musical","7820","94","564267","65","8"
"10","1/10/2010","1","2010","Bye Bye Birdie","Henry Miller (Rndabt)","Musical","7727","94","504910","52","8"
"10","1/10/2010","1","2010","Chicago","Ambassador","Musical","6564","76","523974","51","8"
"10","1/10/2010","1","2010","Fela!","Eugene O'Neill","Musical","7940","96","603358","69","8"
"10","1/10/2010","1","2010","Finian'S Rainbow","St. James","Musical","9187","68","601132","44","8"
"10","1/10/2010","1","2010","God Of Carnage","Jacobs","Play","5475","63","420108","46","8"
"10","1/10/2010","1","2010","Hair","Al Hirschfeld","Musical","8243","73","639243","51","8"
"10","1/10/2010","1","2010","In The Heights","Richard Rodgers","Musical","7848","72","631728","54","8"
"10","1/10/2010","1","2010","In The Next Room Or The Vibrator Play","Lyceum","Play","5706","79","295615","50","8"
"10","1/10/2010","1","2010","Jersey Boys","August Wilson","Musical","9791","100","1135065","97","8"
"10","1/10/2010","1","2010","Mamma Mia!","Winter Garden","Musical","10050","84","814674","61","8"
"10","1/10/2010","1","2010","Mary Poppins","New Amsterdam","Musical","10309","72","736235","53","8"
"10","1/10/2010","1","2010","Memphis","Shubert","Musical","7190","61","497960","41","8"
"10","1/10/2010","1","2010","Next To Normal","Booth","Musical","5710","92","373468","59","8"
"10","1/10/2010","1","2010","Present Laughter '10","American Airlines","Play","4225","71","196871","30","0"
"10","1/10/2010","1","2010","Race","Ethel Barrymore","Play","5274","62","464026","50","8"
"10","1/10/2010","1","2010","Ragtime '09","Neil Simon","Musical","9151","81","591131","48","8"
"10","1/10/2010","1","2010","Rock Of Ages","Brooks Atkinson","Musical","6643","83","557737","72","8"
"10","1/10/2010","1","2010","South Pacific","Vivian Beaumont","Musical","6350","76","603983","61","8"
"10","1/10/2010","1","2010","The 39 Steps","Helen Hayes","Play","3215","68","201125","37","8"
"10","1/10/2010","1","2010","The Lion King","Minskoff","Musical","12993","98","1377959","93","8"
"10","1/10/2010","1","2010","The Phantom Of The Opera","Majestic","Musical","10271","79","794065","59","8"
"10","1/10/2010","1","2010","Time Stands Still","Friedman","Play","3919","75","204010","38","0"
"10","1/10/2010","1","2010","West Side Story","Palace","Musical","10390","77","884336","63","8"
"10","1/10/2010","1","2010","Wicked","Gershwin","Musical","14472","100","1539959","98","8"
"10","1/10/2010","1","2010","Wishful Drinking","Studio 54","Play","5422","77","320709","49","7"
"17","1/17/2010","1","2010","A Little Night Music","Walter Kerr","Musical","7485","100","960539","104","8"
"17","1/17/2010","1","2010","A View From The Bridge '10","Cort","Play","7603","88","589004","67","0"
"17","1/17/2010","1","2010","Billy Elliot: The Musical","Imperial","Musical","10664","94","1222638","95","8"
"17","1/17/2010","1","2010","Bye Bye Birdie","Henry Miller (Rndabt)","Musical","7661","93","538573","55","8"
"17","1/17/2010","1","2010","Chicago","Ambassador","Musical","6573","76","494751","48","8"
"17","1/17/2010","1","2010","Fela!","Eugene O'Neill","Musical","7870","96","609209","70","8"
"17","1/17/2010","1","2010","Finian'S Rainbow","St. James","Musical","12021","88","756014","55","8"
"17","1/17/2010","1","2010","God Of Carnage","Jacobs","Play","6548","76","482893","52","8"
"17","1/17/2010","1","2010","Hair","Al Hirschfeld","Musical","8275","73","644740","51","8"
"17","1/17/2010","1","2010","In The Heights","Richard Rodgers","Musical","8031","74","645484","56","8"
"17","1/17/2010","1","2010","Jersey Boys","August Wilson","Musical","9749","99","1124807","96","8"
"17","1/17/2010","1","2010","Mamma Mia!","Winter Garden","Musical","9344","78","746046","56","8"
"17","1/17/2010","1","2010","Mary Poppins","New Amsterdam","Musical","9038","63","678926","49","8"
"17","1/17/2010","1","2010","Memphis","Shubert","Musical","9106","77","609767","50","8"
"17","1/17/2010","1","2010","Next To Normal","Booth","Musical","5735","93","394536","62","8"
"17","1/17/2010","1","2010","Present Laughter '10","American Airlines","Play","5339","90","225441","35","0"
"17","1/17/2010","1","2010","Race","Ethel Barrymore","Play","6146","73","537352","58","8"
"17","1/17/2010","1","2010","Rock Of Ages","Brooks Atkinson","Musical","6589","83","583807","75","8"
"17","1/17/2010","1","2010","South Pacific","Vivian Beaumont","Musical","6901","83","645498","65","8"
"17","1/17/2010","1","2010","The Lion King","Minskoff","Musical","12327","93","1287715","87","8"
"17","1/17/2010","1","2010","The Phantom Of The Opera","Majestic","Musical","9105","70","692199","51","8"
"17","1/17/2010","1","2010","Time Stands Still","Friedman","Play","4506","87","231917","43","0"
"17","1/17/2010","1","2010","West Side Story","Palace","Musical","12002","88","1032176","74","8"
"17","1/17/2010","1","2010","Wicked","Gershwin","Musical","13914","96","1460131","93","8"
"17","1/17/2010","1","2010","Wishful Drinking","Studio 54","Play","6585","94","395600","60","7"
"24","1/24/2010","1","2010","A Little Night Music","Walter Kerr","Musical","7385","99","928670","101","8"
"24","1/24/2010","1","2010","A View From The Bridge '10","Cort","Play","8086","94","537078","62","1"
"24","1/24/2010","1","2010","Billy Elliot: The Musical","Imperial","Musical","9891","87","1039267","78","8"
"24","1/24/2010","1","2010","Bye Bye Birdie","Henry Miller (Rndabt)","Musical","7636","93","533658","54","8"
"24","1/24/2010","1","2010","Chicago","Ambassador","Musical","5122","59","366154","36","8"
"24","1/24/2010","1","2010","Fela!","Eugene O'Neill","Musical","7178","87","538915","62","8"
"24","1/24/2010","1","2010","God Of Carnage","Jacobs","Play","5460","63","395140","43","8"
"24","1/24/2010","1","2010","Hair","Al Hirschfeld","Musical","6968","62","524882","42","8"
"24","1/24/2010","1","2010","In The Heights","Richard Rodgers","Musical","6798","62","493716","43","8"
"24","1/24/2010","1","2010","Jersey Boys","August Wilson","Musical","9518","97","1072634","91","8"
"24","1/24/2010","1","2010","Mamma Mia!","Winter Garden","Musical","7820","65","591889","44","8"
"24","1/24/2010","1","2010","Mary Poppins","New Amsterdam","Musical","8510","59","559762","41","8"
"24","1/24/2010","1","2010","Memphis","Shubert","Musical","8159","69","513274","42","8"
"24","1/24/2010","1","2010","Next To Normal","Booth","Musical","5486","89","344852","54","8"
"24","1/24/2010","1","2010","Present Laughter '10","American Airlines","Play","5481","93","247538","38","5"
"24","1/24/2010","1","2010","Race","Ethel Barrymore","Play","5785","68","479594","52","8"
"24","1/24/2010","1","2010","Rock Of Ages","Brooks Atkinson","Musical","6107","77","498409","64","8"
"24","1/24/2010","1","2010","South Pacific","Vivian Beaumont","Musical","6269","75","582601","59","8"
